sample_barcode,patient_barcode,CNV_PC1,CNV_PC2,CNV_PC3,CNV_PC4,CNV_PC5,CNV_PC6,CNV_PC7,CNV_PC8,CNV_PC9,CNV_PC10,CNV_PC11,CNV_PC12,CNV_PC13,CNV_PC14,CNV_PC15,CNV_PC16,CNV_PC17,CNV_PC18,CNV_PC19,CNV_PC20,CNV_PC21,CNV_PC22,CNV_PC23,CNV_PC24,CNV_PC25,CNV_PC26,CNV_PC27,CNV_PC28,CNV_PC29,CNV_PC30
TCGA-BR-6709-01,TCGA-BR-6709,6.979313181633655,7.0071291609946,9.022390241504127,2.52152301462444,-30.40043267823427,18.418949361655063,8.51014208442915,-11.566484090614681,4.882312084670763,15.921349943897143,0.9685522499668814,-8.267207371695218,-0.39310306874370965,-0.27679032602333875,-1.1715746062465628,-4.497286356818875,-3.0530805135405337,2.951041984730477,0.966037071803739,-2.0242141856375047,-0.5305340645352172,-0.9722367174959383,3.3325960872945886,2.1156079059625905,-1.7641921713417332,-0.6246368646070475,-5.256615684337565,-6.467414214148969,-1.1921189918191495,-3.141097196915281
TCGA-BR-6801-01,TCGA-BR-6801,-12.515515436959076,-23.69008768399677,-1.4204111008918487,-6.430696759009008,8.58128076257508,-13.243880513615402,7.182437403674916,0.9340269942021153,4.249129273291946,-0.7331647505139819,4.234148197729287,-6.614910848167684,-2.52198467577463,6.251198761617874,-4.90140152489409,-0.5767331868246718,2.1905390222084233,-2.7954000143560895,-3.2206947971908173,-2.84570566864085,-1.9096307046397136,0.05355711126555135,-3.3224919440102134,-0.19518886403466731,0.42876115703101914,-1.2654673789869397,0.9128382911648335,2.5847261147880287,0.32945096768641857,0.8073044345964587
TCGA-BR-6802-01,TCGA-BR-6802,-6.9760413503690994,14.083185480519985,-20.575117683329918,-13.133131190333346,-0.4116924423500839,-5.626863215780985,1.4655699433574743,-5.305696732666892,-1.8583505585529239,1.5976951848406753,-0.09418939721767258,-2.00531935483342,-1.1963316937366473,0.21371477019504911,0.8795569500664686,-1.054985169821545,0.5853094355142864,-0.46900791470783215,0.4860292530801427,0.5651703065203643,0.62718387149018,0.6719945000689242,-0.2682944314204036,0.22297602258841429,-0.6486850880230567,-0.28494525559000017,-0.6288783882741401,0.5072921801297233,1.2942030368916544,0.3169442464928461
TCGA-BR-6803-01,TCGA-BR-6803,21.754798701847538,4.254060600744039,-33.32228062142797,6.645549905533235,3.088740645906458,-1.8126091457458162,-6.2456774199001375,-6.752419842507189,-3.5384843639577808,-0.41849627793593713,-1.3248999409943345,-0.7184364422865067,-2.3910891111428803,3.482588794633813,0.3645779486225884,-1.0491181255952988,-0.44291519010726177,-0.6123158582787319,0.5978992881539491,0.0947556734738592,1.4319975302978598,0.23863052702041626,0.20406430001160128,0.19569751432774835,-0.6493548141141245,0.4671337382528515,-0.2673148665660921,-0.2750278918094845,0.44737297555946043,0.9179717712834515
TCGA-BR-6852-01,TCGA-BR-6852,-6.370690842893233,14.153543094739188,-21.700280932064505,6.0350767891759585,-1.9990526342760402,1.3112259931454668,-1.9256257412561886,-2.892085698576635,-0.4576753533668364,0.9931593075500972,0.2316701385952744,-1.0025891802840585,-1.140095607107165,-0.7255514953479055,0.006945264076440621,-0.8765320991000374,0.9340874189596711,-0.2707213725445555,-0.07253295914890875,0.21700160417102474,0.42918480632104833,1.2970506170206777,-0.20920628935949376,0.2792134105036314,-0.4911880779154335,0.8359729878962615,-0.2308576555919939,-0.5058601591511743,0.676538415158112,0.16516740730758245
TCGA-BR-7196-01,TCGA-BR-7196,1.5224279331374253,7.899631658155394,-0.06538365129929168,-10.04050626534119,-9.670228216484121,-13.085494414113082,7.2368826457007405,0.3499053633844124,-2.7004987040888278,-3.098674349105517,-1.3148962512660873,-1.4125009658287375,-1.9420938744332774,-0.7263432602708413,0.37591028247951963,0.8995901996848223,0.3627344560443264,0.8412935167303213,0.5329105558204184,-0.3328089326183559,2.0392577055195296,1.205053180201777,0.15217301540314493,0.7844947888458503,0.24511098724821012,-0.7005371836081254,-1.272420943610334,0.1736972196223319,1.4385788015625018,0.19996451911064253
TCGA-BR-7197-01,TCGA-BR-7197,-17.886159789572194,-24.724345284207494,9.75167037370172,8.184983653024183,17.473094801780274,10.76304537069518,-11.544580260547894,-10.957209598868834,-17.13493309405528,-8.123647768817355,2.0241114740882704,-12.613729443786637,-5.156114868834185,5.026035179376765,-8.679399250328618,4.060913121010332,7.409044328878107,4.755770915186656,11.189971742007826,-0.3955881613042624,4.5300760964878775,-6.07616221783858,-4.765176675596063,2.665079546103721,1.2490379549984332,-2.2966998054062215,-0.021180718607765874,2.0559237588211645,-0.764416826404069,3.5979159598510413
TCGA-BR-7703-01,TCGA-BR-7703,-18.54953178611443,-51.79941867195207,-8.707286043013559,8.05505716729165,-17.03158445047505,-0.8540250732536273,-4.251751499943232,8.770929602930062,3.365271804916693,-5.7654288124724875,1.3378051361427599,-2.9974344205751815,2.997777322868912,-3.2451262837657366,5.018330872911939,1.8327133658616956,-3.258814526673898,-2.4963182860784188,2.01425432536496,-0.9222682862346432,-0.6242601754355044,-0.3333111938017236,0.9833242067748426,-2.9196892349892765,2.1077847120816937,0.5040759054110107,-1.0191287456779266,1.7423666404865625,-3.9406542649320384,-1.4807542596403889
TCGA-BR-7704-01,TCGA-BR-7704,-17.97806154233986,4.898479172004508,-5.211079166757851,17.258315746237013,22.98088713626185,34.62462485808897,-5.131256520776477,15.144346285556647,-8.912570328648313,-8.767849858501107,26.557155280571237,8.115013551115041,1.2178174789384468,1.481668875238394,1.4510456535768197,2.4126270845736935,-3.1867642852949882,2.3987269579314803,-3.062570263290278,-8.660936051411403,11.135381083453959,-3.665028180735859,11.201249183815232,5.402134903120101,6.425778279436304,-3.3624353910264078,5.540512004808733,-3.7385851491524393,1.4556639621315872,6.293389008188438
TCGA-BR-7715-01,TCGA-BR-7715,-4.344645819329537,-31.070335373321164,24.669000321047708,24.66809999938339,10.7389264560191,29.487107716045127,-8.029433354793246,-13.417036296800333,-9.005572522932091,-4.182207942974875,-11.40417937156086,0.5908538615274554,-11.423623701691323,1.1501526909480408,2.560349992857942,6.356645274950093,-9.391153645912977,-3.0286051308934265,1.8213953623129089,0.9209488746802762,-0.8302145316200009,3.13883418814607,2.7233094625676,2.100704958307488,2.3829500973378486,-3.2320401427344985,-6.339559545675869,1.6788332912236912,-6.612508252291204,1.550326294753499
