sample_barcode,patient_barcode,missing_count,missing_rate
TCGA-RD-A8N9-01,TCGA-RD-A8N9,1331,0.6111111111111112
TCGA-BR-A4PD-01,TCGA-BR-A4PD,1278,0.5867768595041323
TCGA-BR-8080-01,TCGA-BR-8080,1460,0.6703397612488522
TCGA-BR-6455-01,TCGA-BR-6455,1197,0.5495867768595041
TCGA-HU-A4GQ-01,TCGA-HU-A4GQ,1431,0.6570247933884298
TCGA-R5-A805-01,TCGA-R5-A805,1449,0.6652892561983471
TCGA-RD-A8N5-01,TCGA-RD-A8N5,1416,0.650137741046832
TCGA-BR-7716-01,TCGA-BR-7716,1569,0.7203856749311295
TCGA-CD-A489-01,TCGA-CD-A489,1372,0.6299357208448118
TCGA-VQ-A8DZ-01,TCGA-VQ-A8DZ,1524,0.699724517906336
TCGA-BR-8678-01,TCGA-BR-8678,1309,0.601010101010101
TCGA-FP-8209-01,TCGA-FP-8209,1404,0.6446280991735537
TCGA-BR-7959-01,TCGA-BR-7959,1439,0.6606978879706152
TCGA-HU-A4GT-01,TCGA-HU-A4GT,1388,0.6372819100091828
TCGA-VQ-A927-01,TCGA-VQ-A927,1370,0.6290174471992653
TCGA-D7-A6ET-01,TCGA-D7-A6ET,1475,0.67722681359045
TCGA-VQ-A91X-01,TCGA-VQ-A91X,1319,0.6056014692378329
TCGA-BR-7715-01,TCGA-BR-7715,1343,0.6166207529843893
TCGA-VQ-AA6G-01,TCGA-VQ-AA6G,1351,0.6202938475665748
TCGA-D7-A6F2-01,TCGA-D7-A6F2,1332,0.6115702479338843
TCGA-HU-A4GJ-01,TCGA-HU-A4GJ,1431,0.6570247933884298
TCGA-CD-5798-01,TCGA-CD-5798,1154,0.5298438934802571
TCGA-CD-8531-01,TCGA-CD-8531,1407,0.6460055096418733
TCGA-D7-5579-01,TCGA-D7-5579,1208,0.5546372819100092
TCGA-D7-A74A-01,TCGA-D7-A74A,1317,0.6046831955922864
TCGA-D7-6519-01,TCGA-D7-6519,1339,0.6147842056932966
TCGA-VQ-AA6K-01,TCGA-VQ-AA6K,1358,0.6235078053259872
TCGA-VQ-A8DU-01,TCGA-VQ-A8DU,1409,0.6469237832874196
TCGA-CD-A4MJ-01,TCGA-CD-A4MJ,1576,0.7235996326905417
TCGA-F1-6874-01,TCGA-F1-6874,1339,0.6147842056932966
TCGA-VQ-A8DT-01,TCGA-VQ-A8DT,1525,0.7001836547291093
TCGA-HU-A4H3-01,TCGA-HU-A4H3,1556,0.7144168962350781
TCGA-VQ-A94O-01,TCGA-VQ-A94O,1271,0.5835629017447199
TCGA-RD-A8MW-01,TCGA-RD-A8MW,1490,0.6841138659320477
TCGA-D7-8575-01,TCGA-D7-8575,1409,0.6469237832874196
TCGA-HU-A4GF-01,TCGA-HU-A4GF,1426,0.6547291092745638
TCGA-CG-5733-01,TCGA-CG-5733,1316,0.6042240587695134
TCGA-VQ-A8E3-01,TCGA-VQ-A8E3,1433,0.6579430670339761
TCGA-BR-8367-01,TCGA-BR-8367,1528,0.7015610651974288
TCGA-CG-4441-01,TCGA-CG-4441,1172,0.5381083562901745
TCGA-VQ-A8PP-01,TCGA-VQ-A8PP,1354,0.6216712580348944
TCGA-BR-A4IU-01,TCGA-BR-A4IU,1407,0.6460055096418733
TCGA-VQ-A8P8-01,TCGA-VQ-A8P8,1393,0.6395775941230487
TCGA-HU-A4G9-01,TCGA-HU-A4G9,1658,0.761248852157943
TCGA-D7-6528-01,TCGA-D7-6528,1304,0.5987144168962351
TCGA-IN-A7NU-01,TCGA-IN-A7NU,1252,0.5748393021120294
TCGA-BR-A44T-01,TCGA-BR-A44T,1488,0.6831955922865014
TCGA-VQ-A923-01,TCGA-VQ-A923,1335,0.6129476584022039
TCGA-VQ-A94R-01,TCGA-VQ-A94R,1331,0.6111111111111112
TCGA-HU-A4GN-01,TCGA-HU-A4GN,1382,0.6345270890725436
TCGA-D7-8573-01,TCGA-D7-8573,1569,0.7203856749311295
TCGA-HU-A4H5-01,TCGA-HU-A4H5,1446,0.6639118457300276
TCGA-BR-8373-01,TCGA-BR-8373,1408,0.6464646464646465
TCGA-BR-8677-01,TCGA-BR-8677,1290,0.5922865013774105
TCGA-VQ-A8E0-01,TCGA-VQ-A8E0,1336,0.6134067952249771
TCGA-HU-A4GH-01,TCGA-HU-A4GH,1391,0.6386593204775023
TCGA-EQ-5647-01,TCGA-EQ-5647,1264,0.5803489439853077
TCGA-BR-8060-01,TCGA-BR-8060,1335,0.6129476584022039
TCGA-BR-A4CR-01,TCGA-BR-A4CR,1477,0.6781450872359963
TCGA-BR-8362-01,TCGA-BR-8362,1428,0.6556473829201102
TCGA-BR-A4QM-01,TCGA-BR-A4QM,1477,0.6781450872359963
TCGA-CG-5727-01,TCGA-CG-5727,1346,0.6179981634527089
TCGA-VQ-AA6B-01,TCGA-VQ-AA6B,1389,0.6377410468319559
TCGA-HU-A4G6-01,TCGA-HU-A4G6,1577,0.7240587695133149
TCGA-VQ-A91K-01,TCGA-VQ-A91K,1374,0.6308539944903582
TCGA-D7-8578-01,TCGA-D7-8578,1386,0.6363636363636364
TCGA-BR-8483-01,TCGA-BR-8483,1429,0.6561065197428834
TCGA-VQ-AA69-01,TCGA-VQ-AA69,1405,0.6450872359963269
TCGA-BR-6453-01,TCGA-BR-6453,1237,0.5679522497704316
TCGA-CD-8529-01,TCGA-CD-8529,1391,0.6386593204775023
TCGA-BR-7704-01,TCGA-BR-7704,1377,0.6322314049586777
TCGA-HF-7136-01,TCGA-HF-7136,1295,0.5945821854912764
TCGA-VQ-A8PB-01,TCGA-VQ-A8PB,1452,0.6666666666666666
TCGA-CD-5803-01,TCGA-CD-5803,1186,0.5445362718089991
TCGA-SW-A7EB-01,TCGA-SW-A7EB,1238,0.5684113865932048
TCGA-IN-A6RS-01,TCGA-IN-A6RS,1503,0.6900826446280992
TCGA-CD-A4MI-01,TCGA-CD-A4MI,1520,0.6978879706152433
TCGA-BR-7197-01,TCGA-BR-7197,1420,0.6519742883379247
TCGA-BR-A4PF-01,TCGA-BR-A4PF,1557,0.7148760330578512
TCGA-BR-A4J2-01,TCGA-BR-A4J2,1541,0.7075298438934803
TCGA-D7-A6EX-01,TCGA-D7-A6EX,1180,0.54178145087236
