sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-BR-8297-01,TCGA-BR-8297,1.7058297409486972e-13,0.8752201529479388,0.0020050226255675357,0.37790159114063776,0.31922871187985524,0.646371649972854,0.30989030943155443,0.7552935870826312,0.05646657587047007,0.23575740882085047,0.052117717304363785,0.4519227507041703,0.1427156832692024,0.2488504657685259,0.28264950990560117
TCGA-BR-8361-01,TCGA-BR-8361,0.186046628601896,0.4887590046466446,0.4211883424492632,0.21457706316215958,0.14863246176486108,0.23168628076577846,0.2723414581075706,0.1501446568543414,0.37978842680491487,0.2961347578450123,0.8061465088440608,0.216987245299731,0.19190351773243883,0.04980096660229145,0.31918401552086106
TCGA-BR-8363-01,TCGA-BR-8363,0.1753976164888219,0.38230335418399175,0.30090821761106884,0.26758534472385975,0.2725897002675048,0.12632598844102255,0.2796578071730802,0.3432747250902737,0.24104983897020937,0.08245151574464124,0.38502589229049494,0.30692635074720487,0.5035315480748517,0.1618288295792019,0.38996306429842686
TCGA-BR-8364-01,TCGA-BR-8364,0.2421286060549749,0.2632287450695369,0.42090196932082347,1.7294334155551283e-05,0.4390727230353373,0.21707411960778006,1.223444753937984e-07,0.27183309718772924,0.3148447571548242,0.2907827501516145,0.7966160990841163,0.003907976728734427,0.20906279384248105,0.22425730975988004,3.830310987028264e-06
TCGA-BR-8365-01,TCGA-BR-8365,0.11712032765268074,0.3560052978916686,0.3934540778257459,0.00016697247522642344,0.33866372390894295,0.17034307618443767,0.010594234149872046,0.3549816810899635,0.3149660483704393,0.20350773063454342,0.3019645572223931,0.01974182154866213,0.5263129068558969,0.5016318081556193,0.40885520585350343
TCGA-BR-8366-01,TCGA-BR-8366,0.18405050833821252,0.6431858111654681,0.561337844856642,0.27554263650848915,0.1470508436770957,0.03751147025687541,0.24894451541784815,0.28626530650680315,0.2673904244023989,0.20155801207484164,0.4716213171547404,0.3519934442376854,0.19846846675635102,0.3815465475338257,0.04263043612507683
TCGA-BR-8367-01,TCGA-BR-8367,0.17751529333141747,0.36264776021196715,0.24459235537875107,0.272536906024759,0.3472931519204746,0.1140290094858602,0.2686654421737317,0.3315008090916161,0.5102780839985172,0.20824333498205364,0.294845643001083,0.3336423480757777,0.45922519419225477,0.14320602250522574,0.4036407463877297
TCGA-BR-8368-01,TCGA-BR-8368,0.21018879992004585,0.29700599012206097,0.3185335032676829,0.2867241169423682,0.26960759646141297,0.11927471774510282,0.2725953385648725,0.6740170165479947,0.21240648087974526,0.28637226628273293,0.3559632774151488,0.3402509175890249,0.24295318139505537,0.14738573409490555,0.3875670868664012
TCGA-BR-8369-01,TCGA-BR-8369,0.19073750996650116,1.8296315056458047e-06,0.725353047589271,0.42199848196281453,1.0904057470685218,0.0020236490468419134,0.37759240640987785,0.24850935060433535,0.16454902195247922,5.417803488579479e-06,2.6292487747534463e-06,0.17700109194537764,0.15276233311764495,2.196749627900191e-06,0.11345156585083252
TCGA-BR-8371-01,TCGA-BR-8371,0.23584635449460445,0.3515059155053069,0.36415190816227994,0.28118659614567665,0.2239672168345852,0.17599867901716146,0.272475718421342,0.3402094069892649,0.22972708291040558,0.11279616449768197,0.3857047279834166,0.3361919282202106,0.25739834261284533,0.16304466957852917,0.394150842615056
TCGA-BR-8372-01,TCGA-BR-8372,0.20662928484385035,0.2931716577363474,0.32784048895566803,0.2873330406426263,0.27388951151208,0.1237592486657148,0.27247873433970143,0.670555674546259,0.21103866238154156,0.288087450204005,0.35513973938268467,0.3445569716666971,0.242568382983499,0.14787159829749613,0.3800729963306089
TCGA-BR-8380-01,TCGA-BR-8380,0.23589727091686968,0.3515467913628617,0.3644082881167948,0.2812841584666042,0.22493708381366687,0.17603060353697939,0.27232843583885624,0.3401419416519499,0.23137257278031956,0.11198560145573831,0.3850984128416789,0.33653904391006073,0.25729184391351095,0.1629405573296487,0.39403099512008477
TCGA-BR-8381-01,TCGA-BR-8381,0.38949032450348325,0.5123412346033166,0.5878640116609949,0.2388406226541658,0.0447246257576237,0.09745570426980547,0.233800829405781,0.6278246418586113,0.226447788435552,0.37700807436355,0.394611218862989,0.30521631870457694,0.22388915777381338,0.36579378880438923,0.3579929483208358
TCGA-BR-8382-01,TCGA-BR-8382,0.47046107441928264,0.21926445370917647,0.46148680595428165,0.2541557901915714,0.09385625078388218,0.16608488673171548,0.26173226028451296,0.6646322325927597,0.2240000586415358,0.3334824682524231,0.37570237833042264,0.31319015149836554,0.2872398155633378,0.1403153248985788,0.3443229932221004
TCGA-BR-8384-01,TCGA-BR-8384,0.1745089994478331,0.28679064814213856,0.35968763949445753,0.2887058249519168,0.3760780651205863,0.24902205196890811,0.2842073466194773,0.3144610961435231,0.35490508496023765,0.3855780388295081,0.1620821847122142,0.39362239534948984,0.21168359890293897,0.12324294759149582,0.4762574914045603
TCGA-BR-8483-01,TCGA-BR-8483,0.609125510416191,0.726080327590281,0.3628919176392229,0.11292799014242894,0.2661887089428876,0.27989686661565216,0.047470625842845206,0.7283775759300324,0.20331965521430018,0.43842571770680594,2.4369046323433662e-05,0.1577288108174467,3.196467847379456e-05,0.3396611161651489,0.09416847106759782
